run_name,dataset,algorithm,variant,seed,pr_auc,roc_auc,mcc,f1,distance_concentration_ratio,n_features,pca_variance,recall_type_g,recall_type_l
phase4__arrhythmia__HBOS__seed-2__task-001401__cfg-a684df9a,arrhythmia,HBOS,pca-0.05,2,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.05,,
phase4__arrhythmia__HBOS__seed-2__task-001400__cfg-6cce314d,arrhythmia,HBOS,pca-0.01,2,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.01,,
phase4__arrhythmia__DBSCAN__seed-1__task-001399__cfg-b099a216,arrhythmia,DBSCAN,dimensionality-raw-preprocess,1,0.34430315022222435,0.6029400219814728,0.20160150730098916,0.3181818181818182,4.99741488815345,802.0,,,
phase4__arrhythmia__LOF__seed-1__task-001398__cfg-ff64ce76,arrhythmia,LOF,dimensionality-raw-preprocess,1,0.36439398607106305,0.66270215104412,0.23708588475427853,0.3484848484848485,4.99741488815345,802.0,,,
phase4__arrhythmia__HBOS__seed-1__task-001397__cfg-13974058,arrhythmia,HBOS,pca-0.99,1,0.34361170954429443,0.7806563039723661,0.2725702622075679,0.3787878787878788,5.131743340412652,69.0,0.99,,
phase4__arrhythmia__HBOS__seed-1__task-001396__cfg-412ee691,arrhythmia,HBOS,pca-0.90,1,0.5043985595794923,0.7425812529439473,0.34353901711414664,0.4393939393939394,6.327977276056838,5.0,0.9,,
phase4__arrhythmia__HBOS__seed-1__task-001395__cfg-55f58899,arrhythmia,HBOS,pca-0.75,1,0.34656812250817404,0.683761186999529,0.3080546396608573,0.4090909090909091,7.394970814684888,2.0,0.75,,
phase4__arrhythmia__HBOS__seed-1__task-001394__cfg-d258fe5c,arrhythmia,HBOS,pca-0.50,1,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.5,,
phase4__arrhythmia__HBOS__seed-1__task-001393__cfg-a3096282,arrhythmia,HBOS,pca-0.25,1,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.25,,
phase4__arrhythmia__HBOS__seed-1__task-001392__cfg-bd6e2c74,arrhythmia,HBOS,pca-0.10,1,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.1,,
phase4__arrhythmia__HBOS__seed-1__task-001391__cfg-db8ff5cf,arrhythmia,HBOS,pca-0.05,1,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.05,,
phase4__arrhythmia__HBOS__seed-1__task-001390__cfg-d92342f6,arrhythmia,HBOS,pca-0.01,1,0.3635971936340068,0.6721816611712985,0.3080546396608573,0.4090909090909091,8.569539951407041,1.0,0.01,,
phase4__arrhythmia__DBSCAN__seed-0__task-001389__cfg-a4f212bd,arrhythmia,DBSCAN,dimensionality-raw-preprocess,0,0.34430315022222435,0.6029400219814728,0.20160150730098916,0.3181818181818182,4.99741488815345,802.0,,,
phase4__arrhythmia__LOF__seed-0__task-001388__cfg-f3daf688,arrhythmia,LOF,dimensionality-raw-preprocess,0,0.36439398607106305,0.66270215104412,0.23708588475427853,0.3484848484848485,4.99741488815345,802.0,,,
phase4__arrhythmia__HBOS__seed-0__task-001387__cfg-d9f88a37,arrhythmia,HBOS,pca-0.99,0,0.34361170954429443,0.7806563039723661,0.2725702622075679,0.3787878787878788,5.131743340412652,69.0,0.99,,
phase4__arrhythmia__HBOS__seed-0__task-001386__cfg-bbd6474b,arrhythmia,HBOS,pca-0.90,0,0.5043985595794923,0.7425812529439473,0.34353901711414664,0.4393939393939394,6.327977276056838,5.0,0.9,,
